Name,Years active,Active From,Active To,Proven victims,Possible victims,Status,Notes,Source
"Ables, Tony",1970–1990,1970,1990,4,4+,Sentenced to death; commuted to life imprisonment,"Murdered robbery victim in 1970, and at least three women until 1990 in St. Petersburg, Florida",[4]
"Ackroyd, John Arthur",1976–1992,1976,1992,1,3+,Died in prison,Suspected in multiple murders along Oregon's Highway 20,[5]
"Adams, Edward J.",1920–1921,1920,1921,7,7,Killed by police during shootout,"Criminal who murdered seven people, including three policemen",[6]
"Alcala, Rodney",1971–1979,1971,1979,8,50–130,Sentenced to death,"Sometimes called ""The Dating Game Killer"" because of his 1978 appearance on the television show The Dating Game in the midst of his murder spree",[7]
"Allen, Howard",1974–1987,1974,1987,3,3,Sentenced to death; commuted to 60 years,Preyed on the elderly in Indiana,[8][9]
"Allen, Quincy",2002,2002,2002,4,4,Sentenced to death,Murdered four people in North and South Carolina between July–August 2002,[10]
"Anderson, Stephen Wayne",1973–1980,1973,1980,9,9,Executed 2002,"Murdered nine people in Utah, Nevada, and California",[11][12][13]
"Angelo, Richard",1987,1987,1987,4,10,Sentenced to 50 years to life in prison,Long Island nurse who poisoned patients in his care,[14]
"Archerd, William Dale",1947–1966,1947,1966,3,6,Died in prison,First person convicted of using insulin as a murder weapon,[15]
"Archer-Gilligan, Amy",1910–1917,1910,1917,10,50,Died in Connecticut Hospital for the Insane,"Poisoned a husband and residents of her nursing home in Windsor, Connecticut",[16]
"Armstrong, John Eric",1992–1999,1992,1999,5,18,Sentenced to life imprisonment,Navy sailor convicted for murdering prostitutes in Michigan and Illinois; confessed to more murders around the world,[17]
"Atkins, Benjamin",1991–1992,1991,1992,11,11,Died in prison,"Known as ""The Woodward Corridor Killer""; operated in Detroit.",[18]
"Avila-Torrez, Jorge",2005–2009,2005,2009,3,3,Sentenced to death,Murdered two underage girls in 2005 in Illinois and a 20-year-old Navy Petty Officer in Virginia in 2009,[19]
"Balaam, Anthony",1994–1996,1994,1996,4,4,Sentenced to life imprisonment,"Known as ""The Trenton Strangler""; raped and murdered four women in Trenton, New Jersey",[20]
"Ball, Joe",1936–1938,1936,1938,2,20,Committed suicide to avoid apprehension,"Known as ""The Alligator Man""",[21]
"Barber, Danny",1977–1979,1977,1979,4,4,Executed 1999,"Murdered four people in Dallas County, Texas between 1977 and 1979",[22]
"Barfield, Velma",1971–1978,1971,1978,1,6,Executed 1984,Barfield was the first woman in the United States to be executed after the 1976 resumption of capital punishment and the first since 1962. She was also the first woman to be executed by lethal injection.,[23]
"Barnabet, Clementine",1911,1911,1911,35,35,Released in 1923,An axe murdering voodoo priestess who murdered African-American families at nighttime.,[24]
"Barone, Cesar",1991–1993,1991,1993,4,4+,Died in prison before execution,Killed four women around the Portland area,[25]
"Baumeister, Herb",1980–1996,1980,1996,11,20,Committed suicide while a fugitive,"Responsible for murdering at least 11 victims who were found buried on his property in Westfield, Indiana",[26]
"Baxter, Patrick",1987–1990,1987,1990,3,3,Sentenced to life imprisonment,"Raped and murdered one girl and two women in Westchester County, New York",[27]
"Beck, Martha",1947–1949,1947,1949,3,20,Executed 1951,"Along with accomplice Raymond Fernandez, became known as ""The Lonely Hearts Killers""",[28]
Bender Family,1869–1872,1869,1872,11,11+,Unknown,"Family of serial killers who lived and operated in Labette County, Kansas",
"Berdella, Robert",1984–1987,1984,1987,6,6,Died in prison,"Known as ""The Kansas City Butcher"" and ""The Collector""",[29]
"Berkowitz, David",1976–1977,1976,1977,6,6,Sentenced to life imprisonment,"Known as ""The Son of Sam""",[30]
"Bianchi, Kenneth",1977–1978,1977,1978,12,12,Sentenced to life imprisonment,"Along with accomplice Angelo Buono Jr., known as ""The Hillside Stranglers"". Murdered young women in Los Angeles and Washington",[31]
"Biegenwald, Richard",1958–1983,1958,1983,6,11,Died in prison,"Active in New Jersey, suspected in at least two other murders",[32][unreliable source?]
"Bird, Jake",1930–1947,1930,1947,2,46,Executed 1949,Sentenced to death for the murders of two people; confessed to 44 other murders,[33]
"Bishop, Arthur Gary",1979–1983,1979,1983,5,5,Executed 1988,Preyed on young boys in Utah between 1979 and 1983,[34]
"Bittaker, Lawrence",1979,1979,1979,5,5,Died in prison awaiting execution,"With accomplice Roy Norris known as ""The Tool Box Killers""",[35]
"Bittrolff, John",1993,1993,1993,2,4+,Sentenced to 25 years to life,Suspect in Long Island serial killer case,[36]
"Bladel, Rudy",1963–1978,1963,1978,3,7,Died while incarcerated at Henry Ford Allegiance Health,"Known as ""The Railway Killer""; his case was part of Michigan v. Jackson, which was later overruled by the Supreme Court",[37]
"Blair, Terry",1982–2004,1982,2004,7,9,Sentenced to life imprisonment,"Sentenced 25 years imprisonment for one murder, released on parole after serving 21 years and committed additional murders upon release",[38]
"Bolin, Oscar Ray",1986–1987,1986,1987,4,4+,Executed 2016,Murdered three women in Florida and a fourth woman in Texas,[39]
"Bonin, William",1979–1980,1979,1980,21,36+,Executed 1996,"Known as ""The Freeway Killer""; preyed on young men and boys in southern California with several accomplices",[40]
"Bounds, Dallen",1999,1999,1999,4,4+,Committed suicide to avoid apprehension,Murdered acquaintances around South Carolina,[41][42]
"Bowles, Gary Ray",1994,1994,1994,6,25,Executed 2019,"Targeted gay men in Florida, Georgia and Maryland",[43]
"Bradford, William",1984,1984,1984,2,28+,Died in prison awaiting execution,Suspected of more murders due to his modus operandi of taking photographs of his victims,[44][45]
"Brandt, Charlie",1971–2004,1971,2004,3,6+,Committed suicide to avoid apprehension,"Shot his parents in 1971 when he was 13, killing his pregnant mother; stabbed his wife and niece to death in 2004",[46]
"Brashers, Robert Eugene",1990–1998,1990,1998,3,3+,Committed suicide to avoid apprehension,"Known as ""Mister Maroon""",[47]
"Bright, Larry",2003–2004,2003,2004,8,8+,Sentenced to life imprisonment,"Known as ""The Bonecrusher""; strangled black prostitutes at his house in Peoria, burning some of them afterwards",[48]
"Britt, Eugene",1995,1995,1995,7,10,Sentenced to life imprisonment,"Raped and murdered girls and women in Gary and Portage, Indiana",[49]
Briley Brothers,1979,1979,1979,11,20,Executed 1984/1985,Three brothers and an accomplice responsible for 11 murders,[50]
"Brockelhurst, Lester",1937,1937,1937,3,3+,Executed 1938,"Known as ""The Crime Tourist""; together with Bernice Felton, killed at least three men in holdups in three states",[51]
"Brown, Debra Denise",1984,1984,1984,8,8,"Sentenced to death, commuted to life imprisonment",Accomplice of Alton Coleman,[52]
"Brown, Kenyel",2019–2020,2019,2020,6,6+,Committed suicide to avoid apprehension,"Known as ""The Metro Detroit Serial Killer""",[53]
"Browne, Robert Charles",1970–1995,1970,1995,2,2+,Sentenced to life imprisonment,Missionary convicted for two murders; confessed to murdering 49 women,[54]
"Brudos, Jerry",1968–1969,1968,1969,4,4+,Died in prison,"Known as ""The Lust Killer"" and ""The Shoe Fetish Slayer""",[55]
"Buell, Robert Anthony",1981–1983,1981,1983,2,3+,Executed 2002,Serial rapist who murdered children in Ohio,[56]
"Buenoano, Judy",1971–1983,1971,1983,3,3+,Executed 1998,Caught in 1983 after poisoning and car bombing a fiancée,[57]
"Bullock, David",1981–1982,1981,1982,6,6+,Sentenced to 150 years imprisonment,"Known as ""The .38 Caliber Killer""; shot people at random around New York City to ""amuse himself""",[58]
"Bunday, Thomas",1979–1981,1979,1981,5,6,Died in an intentional motorcycle crash,"Never arrested, as he was released after interrogation on a technicality",[59]
